"year","total_ev_sales_per_year","total_charging_points_per_year","total_electricity_per_year","influence_metric"
2015,450,NA,1203381.5693,NA
2016,730,25,1345617.0056,39292016.56352
2017,1840,245,1414308.4222,10621744.8850939
2018,1840,355,1520725.3242,7882069.28599437
2019,1374,710,1557408.9293,3013915.30825099
2020,6286,710,1425757.9557,12622978.1824369
2021,24102,2826,1546218.179,13187172.876949
