"year","total_ev_sales_per_year","total_charging_points_per_year","total_electricity_per_year","influence_metric"
2015,1016000,236000,5559038.57,23932132.1488136
2016,1938000,564000,5871734.2301,20176278.2587479
2017,3580000,852000,6360119.3037,26724444.9615563
2018,6660000,1080000,6770448.4537,41751098.7978167
2019,8860000,2040000,7119429.7228,30920660.462749
2020,11260000,3240000,7370661.458,25615323.4620617
2021,22100076,6900000,8160696.6783,26137973.4497649
